LenderAmountCred,LenderAmountCred30,LenderAmountDeb,LenderAmountDeb30,LenderCountCred,LenderCountCred30,LenderCountDeb,LenderCountDeb30,LoanId,UniqLenderCount
0.0,0.0,-246.0,0.0,0.0,0.0,2.0,0.0,41620779514.0,1.0
3150.0,850.0,-2177.85,-1532.6,7.0,3.0,5.0,3.0,67583499363.0,5.0
0.0,0.0,-408.03999999999996,-176.16,0.0,0.0,3.0,1.0,44647488963.0,2.0
700.0,700.0,-115.5,-115.5,1.0,1.0,1.0,1.0,84583517278.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15651768539.0,0.0
700.0,700.0,-1128.29,-678.29,1.0,1.0,7.0,4.0,14593510584.0,2.0
600.0,300.0,-520.0,-310.0,2.0,1.0,4.0,2.0,43585057978.0,1.0
450.0,450.0,-131.62,-131.62,1.0,1.0,1.0,1.0,63636248014.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60584664621.0,0.0
500.0,0.0,-777.0,-233.28,1.0,0.0,6.0,2.0,27583824171.0,2.0
0.0,0.0,-1521.25,-400.0,0.0,0.0,9.0,2.0,41620812871.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37643812736.0,0.0
1350.0,460.0,-1552.6799999999998,-421.4,7.0,3.0,22.0,8.0,30645216154.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10603806515.0,0.0
350.0,350.0,-174.0,0.0,1.0,1.0,3.0,0.0,30587151115.0,2.0
1250.0,0.0,-1020.5899999999999,-1020.5899999999999,2.0,0.0,6.0,6.0,71643577165.0,3.0
800.0,800.0,-4435.24,-879.5000000000001,1.0,1.0,29.0,6.0,16639049246.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47600585363.0,0.0
2000.0,500.0,-1015.04,-507.52,2.0,1.0,8.0,4.0,21595305478.0,2.0
800.0,0.0,-549.44,-270.04,1.0,0.0,5.0,2.0,49643684754.0,2.0
2420.0,655.0,-2101.19,-1215.1999999999998,8.0,3.0,12.0,6.0,51580848498.0,5.0
1750.0,300.0,-1657.0800000000002,-377.22,4.0,1.0,7.0,4.0,29616954990.0,3.0
1675.0,825.0,-1340.0,-527.75,3.0,1.0,10.0,4.0,24595383312.0,3.0
600.0,600.0,-172.71,-172.71,1.0,1.0,1.0,1.0,49661121061.0,1.0
625.0,625.0,-63.82,-63.82,2.0,2.0,1.0,1.0,79586270988.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64664685690.0,0.0
0.0,0.0,-665.3399999999999,-221.77999999999997,0.0,0.0,12.0,4.0,16597527057.0,1.0
0.0,0.0,-500.65,-160.18,0.0,0.0,6.0,2.0,46642218092.0,1.0
575.0,575.0,-122.44,-122.44,1.0,1.0,1.0,1.0,13655582763.0,2.0
325.0,175.0,-1859.5900000000001,-277.78,2.0,1.0,11.0,2.0,38637628975.0,2.0
2650.0,1350.0,-1451.8899999999999,-940.5699999999999,4.0,2.0,8.0,5.0,15643126755.0,5.0
1100.0,1100.0,-191.14,-191.14,2.0,2.0,1.0,1.0,48649810276.0,2.0
500.0,500.0,-1302.42,-223.29,1.0,1.0,2.0,1.0,20645637280.0,3.0
1827.2,127.2,-1598.8000000000002,-630.95,3.0,1.0,12.0,5.0,26665723184.0,4.0
425.0,0.0,-82.97,0.0,1.0,0.0,1.0,0.0,85582429640.0,2.0
600.0,600.0,-3430.4799999999996,-1220.03,1.0,1.0,6.0,2.0,97585919521.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34611513386.0,0.0
4900.0,500.0,-525.27,-350.18,2.0,1.0,3.0,2.0,23655094646.0,2.0
4125.8,2400.0,-691.6099999999999,-339.28,3.0,2.0,2.0,1.0,50654153289.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13609705690.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39632858989.0,0.0
0.0,0.0,-1401.5800000000004,-388.18,0.0,0.0,11.0,3.0,18588024157.0,2.0
0.0,0.0,-264.33,-264.33,0.0,0.0,1.0,1.0,94645788750.0,1.0
1950.0,1950.0,0.0,0.0,3.0,3.0,0.0,0.0,21581339158.0,3.0
4419.59,1718.9599999999998,-1998.63,-870.9200000000001,11.0,3.0,15.0,6.0,50595213435.0,5.0
6900.0,2350.0,-8051.67,-2715.0,6.0,2.0,12.0,4.0,42611570427.0,2.0
2350.0,0.0,-6393.279999999999,-1374.49,4.0,0.0,26.0,5.0,56633595857.0,8.0
1700.0,1700.0,-246.04,-246.04,3.0,3.0,2.0,2.0,90598423028.0,3.0
700.0,700.0,-201.2,-201.2,2.0,2.0,2.0,2.0,17643693864.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80610447861.0,0.0
2900.0,300.0,-1484.07,-764.5099999999999,2.0,1.0,8.0,5.0,13587613468.0,3.0
300.0,0.0,-325.11,-57.06,1.0,0.0,3.0,2.0,15601801535.0,3.0
1900.0,0.0,-403.57,-211.69,2.0,0.0,5.0,3.0,58585096786.0,2.0
200.0,0.0,-125.37,-125.37,1.0,0.0,2.0,2.0,90645683716.0,1.0
800.0,300.0,-1654.7699999999995,-896.86,2.0,1.0,13.0,6.0,95599432853.0,5.0
0.0,0.0,-247.36,0.0,0.0,0.0,1.0,0.0,77638344827.0,1.0
600.0,600.0,-345.5,-345.5,2.0,2.0,1.0,1.0,92642066927.0,1.0
0.0,0.0,-1145.08,-430.42,0.0,0.0,9.0,3.0,46630259990.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13640651981.0,0.0
633.6,633.6,-3161.5200000000004,-796.8199999999999,2.0,2.0,29.0,10.0,12621287965.0,8.0
0.0,0.0,-300.0,-150.0,0.0,0.0,2.0,1.0,83667400276.0,1.0
1425.0,1050.0,-5161.93,-2074.69,2.0,1.0,27.0,11.0,45613104292.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32630330031.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25623938329.0,0.0
675.0,0.0,-2041.1299999999999,-625.0500000000001,2.0,0.0,18.0,6.0,14596955251.0,4.0
1400.0,500.0,-1195.8700000000001,-453.13,5.0,2.0,18.0,9.0,39617257064.0,5.0
1525.0,0.0,-1026.66,-474.51,2.0,0.0,4.0,2.0,47663759850.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21599287370.0,0.0
0.0,0.0,-305.94,-160.0,0.0,0.0,4.0,2.0,79626841645.0,1.0
2295.0,1000.0,-1111.97,-481.99,3.0,1.0,15.0,7.0,69604329682.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34655738744.0,0.0
493.3,117.86,-2375.3399999999997,-806.54,7.0,2.0,21.0,7.0,57627625990.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11618754575.0,0.0
1100.0,400.0,-1075.23,-419.86,3.0,1.0,9.0,4.0,81622784371.0,5.0
1000.0,1000.0,-360.42,-120.14,1.0,1.0,6.0,2.0,42609679853.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90606303876.0,0.0
